Time,A
212,4.848367207
213,4.858984586
214,4.871790718
215,4.885815416
216,4.888429972
217,4.843911351
218,4.815232146
219,4.809175211
220,4.821690688
221,4.877430766
222,4.931431363
223,4.95383543
224,4.935457204
225,4.91557629
226,4.903506979
227,4.897077682
228,4.938554121
229,5.016575807
230,5.047922867
231,5.048473407
232,5.009099532
233,4.954554094
234,4.976360637
235,5.006060756
236,5.02632204
237,4.988616704
238,4.902698842
239,4.809259927
240,4.566298523
241,4.682812362
242,4.80390037
243,4.93252406
244,4.972364585
245,4.960498934
246,4.896669339
247,4.852493192
248,4.814192538
249,4.791406362
250,4.848875377
251,4.900177438
252,4.942563908
253,4.98981692
254,5.000590047
255,4.931662124
256,4.857600444
257,4.829798687
258,4.856253434
259,4.910409487
260,4.974108322
261,5.153049299
262,5.011690279
263,4.883631629
264,4.790822457
265,4.783985703
266,4.849663074
267,4.907667521
268,4.978934821
269,4.997553308
270,4.937001289
271,4.926418536
272,4.901214565
273,4.8671215
274,4.898812453
275,4.891659117
276,4.883043715
277,4.88380335
278,4.904482725
279,4.901761436
280,4.897443593
281,4.920027198
282,4.85406154
283,4.811027009
284,4.841797965
285,4.862518843
286,4.93364407
287,4.990557362
288,4.945257233
289,4.86896097
290,4.842177986
291,4.874815736
292,4.918661403
293,4.974001794
294,4.986562511
295,4.972089591
296,4.913829478
297,4.880190345
298,4.857158162
299,4.843669763
300,4.892951687
301,4.924068713
302,4.929102224
303,4.896006705
304,4.879102941
305,4.880817312
306,4.878011358
307,4.889122745
308,4.910198689
309,4.90807334
310,4.89278912
311,4.855741238
312,4.837525792
313,4.860333282
314,4.917298369
315,4.940529574
316,4.906395071
317,4.852285816
318,4.806811108
319,4.83093117
320,4.899850782
321,4.958004261
322,4.986407134
323,4.98173632
324,4.950400789
325,4.89819903
326,4.883970005
327,4.880948861
328,4.909525039
329,4.934063872
330,4.933951067
331,4.953433241
332,4.945991283
333,4.914788359
334,4.901545926
335,4.890681073
336,4.902862851
337,4.952521315
338,4.971661524
339,4.950940236
340,4.923432042
341,4.924027792
342,4.919435769
343,4.902329774
344,4.872842682
345,4.808647482
346,4.824133867
347,4.889489187
348,4.936748358
349,4.994215414
350,4.985361156
351,4.953907951
352,4.940294825
353,4.911602235
354,4.89638433
355,4.909230998
356,4.912012109
357,4.905796046
358,4.88303903
359,4.864267849
360,4.856158938
361,4.881947412
362,4.945697362
363,4.98099321
364,4.990262721
365,4.978733514
366,4.93272725
367,4.694335445
368,4.73294555
369,4.885597552
370,4.98017616
371,4.958932487
372,4.964193641
373,4.999614501
374,4.991935863
375,5.006181031
376,4.955405422
377,4.884981215
378,4.874146596
379,4.92779826
380,4.960888465
381,4.953225388
382,4.923456745
383,4.875180282
384,4.84372561
385,4.850580311
386,4.852598924
387,4.82989253
388,4.812920703
389,4.826151773
390,4.882037618
391,4.918090804
392,4.994244871
393,5.039792548
394,4.983573078
395,4.921696123
396,4.860250526
397,4.797447719
398,4.792287127
399,4.830017344
400,4.850191801
401,4.868627297
402,4.868471299
403,4.887483919
404,4.87994053
405,4.876032662
406,4.902098042
407,4.90760676
408,4.898892706
409,4.891475123
410,4.905327119
411,4.896772138
412,4.898827806
413,4.89341753
414,4.86882777
415,4.852847573
416,4.830083797
417,4.843528946
418,4.852868729
419,4.850465456
420,4.859557691
421,4.824685286
422,4.838883419
423,4.873989409
424,4.865485537
425,4.899646142
426,4.921789714
427,4.898464144
428,4.938033302
429,4.932798488
430,4.926508685
431,4.930625745
432,4.927140704
433,4.923780628
434,4.844285966
435,4.814566307
436,4.82008659
437,4.850659535
438,4.913726855
439,4.958885723
440,4.924417249
441,4.884943386
442,4.840993795
443,4.799624004
444,4.796623727
445,4.797311348
446,4.828295297
447,4.855142887
448,4.873357644
449,4.9086094
450,4.937804297
451,4.945003864
452,4.916834018
453,4.882450848
454,4.875999491
455,4.850992944
456,4.875556372
457,4.871237368
458,4.816372893
459,4.795198658
460,4.784035388
461,4.794554017
462,4.853467525
463,4.907892534
464,4.88765668
465,4.871252712
466,4.884270082
467,4.882329305
468,4.920188132
469,4.940631038
470,4.899730694
471,4.86947842
472,4.845369249
473,4.836338747
474,4.864050018
475,4.916026367
476,4.948314882
477,4.950128458
478,4.903626738
479,4.838311652
480,4.806504102
481,4.821359314
482,4.855658836
483,4.873024513
484,4.870200714
485,4.834868476
486,4.811992815
487,4.81436422
488,4.841284623
489,4.860700821
490,4.840675659
491,4.828679076
492,4.839469464
493,4.84457264
494,4.870865185
495,4.882971253
496,4.831679039
497,4.789811352
498,4.796049151
499,4.829974111
500,4.891485027
501,5.073483927
502,4.975160308
503,4.906910086
504,4.880202138
505,4.90755308
506,4.922094449
507,4.893224787
508,4.880482127
509,4.923290557
510,4.933694092
511,4.888049328
512,4.810161017
513,4.74443037
514,4.744233172
515,4.788839711
516,4.861654674
517,4.903412373
518,4.872442355
519,4.86459843
520,4.831768199
521,4.806422257
522,4.809003427
523,4.784715507
524,4.795724126
525,4.825252008
526,4.825162256
527,4.810298217
528,4.773425721
529,4.723775352
530,4.73952534
531,4.816049811
532,4.862961271
533,4.879073614
534,4.881776809
535,4.8667934
536,4.883568553
537,4.907274787
538,4.913842247
539,4.854647423
540,4.798547006
541,4.772488583
542,4.793855293
543,4.867931923
544,4.915781823
545,4.910703138
546,4.886183447
547,4.861666854
548,4.819883541
549,4.846886028
550,4.869888362
551,4.862817695
552,4.88656333
553,4.910171996
554,4.879351473
555,4.855882611
556,4.831136067
557,4.771951893
558,4.771632508
559,4.804525177
560,4.808433086
561,4.855118217
562,4.874910777
563,4.888012395
564,4.882744262
565,4.844391886
566,4.799066892
567,4.785063025
568,4.819817503
569,4.838082761
570,4.896428606
571,4.911327041
572,4.915850034
573,4.899057595
574,4.838223283
575,4.630443678
576,4.597434492
577,4.701855915
578,4.792386236
579,4.839537951
580,4.83439971
581,4.841967323
582,4.840895251
583,4.801081679
584,4.749901035
585,4.748541643
586,4.783827308
587,4.824603402
588,4.901741084
589,4.9310157
590,4.913725925
591,4.885897576
592,4.887468677
593,4.885764631
594,4.864215743
595,4.867443905
596,4.860253529
597,4.889818965
598,4.911326592
599,4.905746937
600,4.90669683
601,4.868176451
602,4.878631597
603,4.907908963
604,4.892926102
